payment_id,order_id,payment_date,amount,currency,status,payment_method
103,71,2026-03-20,63.44,USD,Paid,Card
104,182,2026-03-21,638.91,USD,Refunded,Card
105,187,2026-03-22,643.94,EUR,Paid,Cash
106,47,2026-03-23,171.05,EUR,Paid,Cash
107,36,2026-03-24,687.92,EUR,Paid,Card
109,57,2026-03-26,453.24,EUR,Paid,Paypal
111,120,2026-03-28,125.16,EUR,Paid,Card
112,107,2026-03-01,169.29,EUR,Paid,Card
113,176,2026-03-02,530.52,USD,Paid,Cash
114,11,2026-03-03,132.32,EUR,Refunded,Card
115,224,2026-03-04,670.54,USD,Refunded,Paypal
116,67,2026-03-05,639.79,EUR,Failed,Cash
117,205,2026-03-06,443.5,EUR,Refunded,Paypal
118,84,2026-03-07,784.28,EUR,Paid,Cash
119,168,2026-03-08,133.23,USD,Refunded,Paypal
121,30,2026-03-10,155.32,USD,Paid,Card
122,168,2026-03-11,664.51,EUR,Refunded,Paypal
123,90,2026-03-12,425.81,USD,Paid,Card
124,52,2026-03-13,602.79,EUR,Paid,Cash
125,52,2026-03-14,231.2,USD,Paid,Card
126,9,2026-03-15,381.66,EUR,Failed,Paypal
127,50,2026-03-16,483.05,EUR,Failed,Card
128,86,2026-03-17,528.66,EUR,Refunded,Cash
129,191,2026-03-18,365.2,EUR,Failed,Cash
130,186,2026-03-19,151.3,USD,Paid,Paypal
131,153,2026-03-20,369.44,EUR,Refunded,Cash
132,132,2026-03-21,374.5,EUR,Paid,Paypal
133,148,2026-03-22,86.81,EUR,Paid,Cash
134,44,2026-03-23,70.22,EUR,Failed,Paypal
136,39,2026-03-25,700.01,EUR,Failed,Cash
137,40,2026-03-26,84.27,EUR,Paid,Cash
138,120,2026-03-27,223.67,EUR,Failed,Card
139,94,2026-03-28,139.58,EUR,Failed,Card
140,62,2026-03-01,233.95,EUR,Refunded,Paypal
141,4,2026-03-02,698.51,EUR,Paid,Card
142,177,2026-03-03,755.22,EUR,Refunded,Paypal
143,216,2026-03-04,191.12,EUR,Refunded,Cash
145,170,2026-03-06,96.59,EUR,Paid,Paypal
146,211,2026-03-07,181.92,EUR,Paid,Card
147,11,2026-03-08,67.71,USD,Paid,Card
148,88,2026-03-09,498.42,EUR,Failed,Card
149,3,2026-03-10,650.34,EUR,Refunded,Cash
150,9,2026-03-11,752.84,EUR,Paid,Card
151,39,2026-03-12,633.0,EUR,Refunded,Cash
152,57,2026-03-13,618.44,EUR,Refunded,Paypal
153,203,2026-03-14,271.54,EUR,Paid,Cash
154,193,2026-03-15,39.81,USD,Paid,Paypal
155,217,2026-03-16,512.75,EUR,Paid,Cash
156,150,2026-03-17,631.43,EUR,Failed,Card
157,35,2026-03-18,644.64,EUR,Paid,Cash
158,191,2026-03-19,664.46,USD,Paid,Cash
159,99,2026-03-20,667.64,EUR,Paid,Paypal
160,18,2026-03-21,629.7,USD,Paid,Cash
161,51,2026-03-22,603.07,EUR,Refunded,Paypal
163,170,2026-03-24,712.73,EUR,Paid,Cash
164,104,2026-03-25,636.98,USD,Paid,Card
166,29,2026-03-27,13.55,EUR,Paid,Cash
167,38,2026-03-28,340.74,USD,Paid,Cash
169,23,2026-03-02,499.23,USD,Failed,Cash
170,170,2026-03-03,157.96,EUR,Paid,Paypal
171,175,2026-03-04,647.63,EUR,Refunded,Paypal
172,70,2026-03-05,42.8,EUR,Paid,Cash
173,58,2026-03-06,766.59,USD,Refunded,Cash
174,128,2026-03-07,712.99,EUR,Failed,Cash
175,101,2026-03-08,765.07,EUR,Refunded,Paypal
176,63,2026-03-09,17.16,EUR,Paid,Cash
177,174,2026-03-10,456.56,USD,Failed,Card
178,193,2026-03-11,787.77,EUR,Refunded,Cash
179,114,2026-03-12,536.38,EUR,Failed,Cash
180,170,2026-03-13,766.7,USD,Failed,Paypal
181,168,2026-03-14,509.22,EUR,Paid,Cash
182,225,2026-03-15,399.74,EUR,Paid,Paypal
183,80,2026-03-16,104.05,EUR,Paid,Paypal
184,84,2026-03-17,713.98,EUR,Paid,Cash
185,49,2026-03-18,118.22,USD,Refunded,Paypal
186,45,2026-03-19,735.22,EUR,Paid,Paypal
187,75,2026-03-20,475.76,USD,Refunded,Paypal
188,207,2026-03-21,30.39,EUR,Paid,Paypal
190,204,2026-03-23,266.12,EUR,Paid,Paypal
191,133,2026-03-24,284.32,EUR,Refunded,Card
193,178,2026-03-26,245.13,EUR,Failed,Card
194,159,2026-03-27,225.16,EUR,Refunded,Cash
195,175,2026-03-28,743.16,EUR,Paid,Cash
196,204,2026-03-01,295.82,USD,Paid,Cash
197,129,2026-03-02,220.81,EUR,Paid,Cash
198,39,2026-03-03,513.32,USD,Paid,Cash
199,193,2026-03-04,608.09,EUR,Paid,Card
200,136,2026-03-05,227.56,USD,Paid,Cash
201,116,2026-03-06,682.62,EUR,Failed,Card
202,155,2026-03-07,42.65,USD,Failed,Cash
203,225,2026-03-08,219.76,EUR,Paid,Paypal
204,79,2026-03-09,86.16,EUR,Paid,Card
205,101,2026-03-10,519.37,EUR,Paid,Paypal
206,128,2026-03-11,672.97,EUR,Paid,Cash
207,137,2026-03-12,286.28,EUR,Refunded,Paypal
208,55,2026-03-13,421.74,USD,Refunded,Cash
209,129,2026-03-14,548.71,EUR,Paid,Card
210,104,2026-03-15,683.03,EUR,Paid,Card
211,39,2026-03-16,463.24,USD,Refunded,Card
212,230,2026-03-17,540.52,EUR,Paid,Cash
213,34,2026-03-18,720.06,EUR,Failed,Paypal
214,183,2026-03-19,566.25,EUR,Failed,Card
215,58,2026-03-20,619.5,USD,Refunded,Cash
217,56,2026-03-22,418.64,EUR,Failed,Card
218,71,2026-03-23,371.61,EUR,Paid,Paypal
219,11,2026-03-24,56.69,EUR,Paid,Paypal
