order_id,customer_id,order_date,status,shipping_city,payment_method
113,95,2026-02-02,completed,Gjilan,Paypal
114,182,2026-02-03,completed,Gjilan,Card
115,108,2026-02-04,new,Ferizaj,Card
117,134,2026-02-06,new,Prishtina,Cash
122,161,2026-02-11,new,Mitrovica,Card
123,3,2026-02-12,new,Prishtina,Card
124,32,2026-02-13,completed,Gjakova,Card
125,71,2026-02-14,completed,Gjakova,Paypal
126,191,2026-02-15,completed,Prishtina,Cash
127,199,2026-02-16,completed,Prishtina,Cash
129,172,2026-02-18,completed,Prishtina,Paypal
130,9,2026-02-19,new,Prishtina,Card
131,167,2026-02-20,new,Mitrovica,Cash
132,80,2026-02-21,completed,Gjakova,Paypal
133,16,2026-02-22,completed,Ferizaj,Paypal
135,43,2026-02-24,completed,Prishtina,Cash
136,166,2026-02-25,completed,Mitrovica,Cash
138,86,2026-02-27,completed,Gjilan,Card
139,160,2026-02-28,completed,Prishtina,Card
140,154,2026-02-01,completed,Mitrovica,Card
142,198,2026-02-03,completed,Gjakova,Cash
143,177,2026-02-04,new,Ferizaj,Cash
146,147,2026-02-07,completed,Gjilan,Paypal
149,202,2026-02-10,completed,Gjilan,Paypal
151,53,2026-02-12,completed,Prishtina,Cash
152,118,2026-02-13,new,Vushtrri,Cash
153,198,2026-02-14,new,Peja,Cash
154,149,2026-02-15,completed,Vushtrri,Cash
155,123,2026-02-16,completed,Peja,Card
156,50,2026-02-17,new,Prizren,Paypal
157,75,2026-02-18,completed,Ferizaj,Cash
158,200,2026-02-19,completed,Peja,Card
159,127,2026-02-20,completed,Prishtina,Cash
161,40,2026-02-22,completed,Prishtina,Cash
162,72,2026-02-23,new,Prishtina,Card
164,200,2026-02-25,completed,Mitrovica,Card
165,115,2026-02-26,completed,Gjilan,Card
166,87,2026-02-27,completed,Prizren,Cash
167,22,2026-02-28,new,Prishtina,Card
168,143,2026-02-01,completed,Gjakova,Cash
170,24,2026-02-03,completed,Ferizaj,Paypal
171,60,2026-02-04,new,Vushtrri,Cash
173,61,2026-02-06,completed,Prizren,Card
175,8,2026-02-08,new,Gjilan,Paypal
177,26,2026-02-10,completed,Ferizaj,Card
178,51,2026-02-11,completed,Gjakova,Paypal
182,62,2026-02-15,completed,Prishtina,Cash
183,184,2026-02-16,completed,Prishtina,Card
184,57,2026-02-17,new,Ferizaj,Paypal
186,6,2026-02-19,new,Gjakova,Cash
187,83,2026-02-20,completed,Gjakova,Card
188,161,2026-02-21,completed,Prizren,Cash
189,57,2026-02-22,new,Prizren,Paypal
190,116,2026-02-23,completed,Gjakova,Card
193,147,2026-02-26,completed,Ferizaj,Card
196,132,2026-02-01,new,Peja,Paypal
197,123,2026-02-02,completed,Prishtina,Cash
198,194,2026-02-03,completed,Ferizaj,Cash
199,67,2026-02-04,completed,Peja,Card
201,15,2026-02-06,completed,Prizren,Paypal
204,203,2026-02-09,completed,Prizren,Cash
205,112,2026-02-10,new,Mitrovica,Card
206,71,2026-02-11,completed,Prizren,Card
207,134,2026-02-12,completed,Prizren,Card
210,53,2026-02-15,completed,Peja,Paypal
211,79,2026-02-16,completed,Prishtina,Card
213,89,2026-02-18,completed,Gjilan,Paypal
214,127,2026-02-19,new,Prishtina,Cash
216,69,2026-02-21,completed,Prizren,Paypal
217,94,2026-02-22,new,Prizren,Paypal
218,96,2026-02-23,new,Ferizaj,Paypal
219,115,2026-02-24,new,Prishtina,Cash
220,183,2026-02-25,completed,Ferizaj,Paypal
