customer_id,full_name,city,country,total_orders,total_spent,average_order_value
96,Customer 96,Prishtina,Unknown,2,143.18,71.59
143,Customer 143,Peja,Unknown,1,131.04,131.04
2,Customer 2,Prishtina,Kosovo,1,83.84,83.84
1,Customer 1,Ferizaj,Albania,0,0.0,0.0
5,Customer 5,Prishtina,North Macedonia,0,0.0,0.0
7,Customer 7,Vushtrri,North Macedonia,0,0.0,0.0
8,Customer 8,Prishtina,Albania,1,0.0,0.0
9,Customer 9,Prishtina,North Macedonia,1,0.0,0.0
10,Customer 10,Peja,Kosovo,0,0.0,0.0
11,Customer 11,Prizren,Unknown,0,0.0,0.0
13,Customer 13,Gjilan,Albania,0,0.0,0.0
14,Customer 14,Peja,Unknown,0,0.0,0.0
17,Customer 17,Vushtrri,North Macedonia,0,0.0,0.0
19,Customer 19,Gjilan,Albania,0,0.0,0.0
21,Customer 21,Gjilan,North Macedonia,0,0.0,0.0
23,Customer 23,Prishtina,Kosovo,0,0.0,0.0
24,Customer 24,Mitrovica,Albania,1,0.0,0.0
28,Customer 28,Gjakova,North Macedonia,0,0.0,0.0
30,Customer 30,Prishtina,Kosovo,0,0.0,0.0
33,Customer 33,Ferizaj,Albania,0,0.0,0.0
34,Customer 34,Prishtina,North Macedonia,0,0.0,0.0
35,Customer 35,Peja,Unknown,0,0.0,0.0
37,Customer 37,Gjakova,Kosovo,2,0.0,0.0
39,Customer 39,Gjilan,Albania,0,0.0,0.0
41,Customer 41,Ferizaj,North Macedonia,0,0.0,0.0
42,Customer 42,Prizren,Kosovo,1,0.0,0.0
45,Customer 45,Prizren,Unknown,0,0.0,0.0
46,Customer 46,Prishtina,Albania,0,0.0,0.0
47,Customer 47,Vushtrri,Unknown,0,0.0,0.0
48,Customer 48,Ferizaj,Albania,0,0.0,0.0
49,Customer 49,Prishtina,North Macedonia,0,0.0,0.0
52,Customer 52,Mitrovica,Kosovo,0,0.0,0.0
59,Customer 59,Ferizaj,Unknown,0,0.0,0.0
60,Customer 60,Prishtina,Kosovo,1,0.0,0.0
63,Customer 63,Prishtina,Unknown,0,0.0,0.0
64,Customer 64,Gjakova,Albania,0,0.0,0.0
65,Customer 65,Prishtina,Albania,0,0.0,0.0
68,Customer 68,Gjilan,Unknown,0,0.0,0.0
70,Customer 70,Vushtrri,Unknown,0,0.0,0.0
73,Customer 73,Gjakova,Unknown,1,0.0,0.0
74,Customer 74,Prishtina,Unknown,1,0.0,0.0
77,Customer 77,Ferizaj,Kosovo,0,0.0,0.0
78,Customer 78,Prishtina,Albania,0,0.0,0.0
82,Customer 82,Mitrovica,Albania,0,0.0,0.0
84,Customer 84,Prishtina,North Macedonia,1,0.0,0.0
85,Customer 85,Mitrovica,Kosovo,0,0.0,0.0
86,Customer 86,Prizren,Albania,1,0.0,0.0
91,Customer 91,Prizren,North Macedonia,0,0.0,0.0
92,Customer 92,Peja,Kosovo,0,0.0,0.0
98,Customer 98,Prizren,Albania,0,0.0,0.0
99,Customer 99,Vushtrri,Kosovo,0,0.0,0.0
100,Customer 100,Prizren,Kosovo,0,0.0,0.0
101,Customer 101,Prizren,Albania,0,0.0,0.0
102,Customer 102,Prishtina,Kosovo,0,0.0,0.0
103,Customer 103,Vushtrri,North Macedonia,0,0.0,0.0
104,Customer 104,Vushtrri,Kosovo,0,0.0,0.0
105,Customer 105,Peja,Unknown,0,0.0,0.0
106,Customer 106,Prishtina,North Macedonia,0,0.0,0.0
107,Customer 107,Prishtina,Kosovo,0,0.0,0.0
109,Customer 109,Gjakova,North Macedonia,0,0.0,0.0
111,Customer 111,Peja,North Macedonia,0,0.0,0.0
114,Customer 114,Peja,North Macedonia,0,0.0,0.0
117,Customer 117,Gjilan,Albania,0,0.0,0.0
118,Customer 118,Peja,Kosovo,1,0.0,0.0
119,Customer 119,Gjakova,Albania,0,0.0,0.0
121,Customer 121,Mitrovica,Unknown,0,0.0,0.0
122,Customer 122,Peja,Unknown,0,0.0,0.0
125,Customer 125,Prishtina,North Macedonia,0,0.0,0.0
128,Customer 128,Prishtina,Kosovo,0,0.0,0.0
129,Customer 129,Gjilan,Kosovo,1,0.0,0.0
130,Customer 130,Gjilan,Albania,0,0.0,0.0
131,Customer 131,Gjilan,North Macedonia,0,0.0,0.0
133,Customer 133,Prishtina,Unknown,0,0.0,0.0
134,Customer 134,Prizren,North Macedonia,2,0.0,0.0
137,Customer 137,Peja,Kosovo,0,0.0,0.0
138,Customer 138,Prishtina,North Macedonia,0,0.0,0.0
139,Customer 139,Ferizaj,North Macedonia,0,0.0,0.0
140,Customer 140,Prizren,Kosovo,0,0.0,0.0
141,Customer 141,Peja,Kosovo,0,0.0,0.0
142,Customer 142,Gjilan,Kosovo,2,0.0,0.0
145,Customer 145,Gjakova,Albania,0,0.0,0.0
146,Customer 146,Ferizaj,Kosovo,0,0.0,0.0
148,Customer 148,Vushtrri,Albania,0,0.0,0.0
149,Customer 149,Gjakova,Albania,1,0.0,0.0
150,Customer 150,Prishtina,North Macedonia,0,0.0,0.0
151,Customer 151,Vushtrri,North Macedonia,1,0.0,0.0
152,Customer 152,Gjilan,Albania,0,0.0,0.0
157,Customer 157,Prishtina,Kosovo,0,0.0,0.0
158,Customer 158,Vushtrri,Unknown,0,0.0,0.0
159,Customer 159,Peja,Unknown,1,0.0,0.0
163,Customer 163,Vushtrri,Unknown,0,0.0,0.0
165,Customer 165,Ferizaj,Albania,0,0.0,0.0
169,Customer 169,Prishtina,Kosovo,0,0.0,0.0
170,Customer 170,Prishtina,Albania,2,0.0,0.0
171,Customer 171,Prishtina,North Macedonia,0,0.0,0.0
174,Customer 174,Mitrovica,Unknown,0,0.0,0.0
175,Customer 175,Prizren,Unknown,0,0.0,0.0
178,Customer 178,Vushtrri,Kosovo,0,0.0,0.0
179,Customer 179,Peja,Kosovo,0,0.0,0.0
185,Customer 185,Prishtina,Kosovo,1,0.0,0.0
188,Customer 188,Peja,Albania,0,0.0,0.0
192,Customer 192,Prizren,Unknown,0,0.0,0.0
193,Customer 193,Gjilan,Albania,0,0.0,0.0
194,Customer 194,Gjakova,Kosovo,1,0.0,0.0
195,Customer 195,Gjilan,Kosovo,0,0.0,0.0
196,Customer 196,Gjakova,Unknown,0,0.0,0.0
197,Customer 197,Gjilan,North Macedonia,0,0.0,0.0
199,Customer 199,Peja,Unknown,1,0.0,0.0
